ページタイトル,施設ジャンル,施設、場所、イベントの名称（読み）,郵便番号,住所,ビル名,フロア数,緯度,経度
千葉市 えごだ南公園,公園,エゴダミナミコウエン,,千葉市稲毛区小仲台8丁目10,,,35.647658,140.087294
千葉市 園生南公園,公園,ソンノウミナミコウエン,,千葉市稲毛区園生町979－2,,,35.640742,140.107957
千葉市 新山公園,公園,ニイヤマコウエン,,千葉市稲毛区黒砂台2丁目14,,,35.630556,140.095615
千葉市 園生第２公園,公園,ソンノウダイ２コウエン,,千葉市稲毛区園生町389－1,,,35.654841,140.12039
千葉市 轟町公園,公園,トドロキチョウコウエン,,千葉市稲毛区轟町2丁目55－5,,,35.629426,140.107156
千葉市 黒砂公園,公園,クロスナコウエン,,千葉市稲毛区黒砂台1丁目10,,,35.626819,140.097624
千葉市 えごだ東公園,公園,エゴダヒガシコウエン,,千葉市稲毛区小中台町1510－1,,,35.649361,140.086287
千葉市 稲毛広尾公園,公園,イナゲヒロオコウエン,,千葉市稲毛区稲毛町5丁目地内34,,,35.644076,140.079784
千葉市 柏台第３公園,公園,カシワダイダイ３コウエン,,千葉市稲毛区柏台274－7,,,35.650622,140.108466
千葉市 稲毛児童公園,公園,イナゲジドウコウエン,,千葉市稲毛区稲毛東2丁目13,,,35.636322,140.08751
千葉市 丸よし公園,公園,マルヨシコウエン,,千葉市稲毛区小仲台5丁目3,,,35.641188,140.096408
千葉市 小仲台南公園,公園,コナカダイミナミコウエン,,千葉市稲毛区小仲台1丁目1081－25,,,35.633673,140.097293
千葉市 緑町公園,公園,ミドリチョウコウエン,,千葉市稲毛区緑町1丁目17,,,35.624644,140.09914
千葉市 長沼町北公園,公園,ナガヌマチョウキタコウエン,,千葉市稲毛区長沼町124－89,,,35.660779,140.121912
千葉市 萩台北公園,公園,ハギダイキタコウエン,,千葉市稲毛区萩台町664－87,,,35.647558,140.122742
千葉市 宮野木北第１公園,公園,ミヤノギキタダイ１コウエン,,千葉市稲毛区宮野木町1809－51,,,35.658177,140.106774
千葉市 中園第３公園,公園,ナカゾノダイ３コウエン,,千葉市稲毛区園生町1223－9,,,35.642753,140.101101
千葉市 黒砂台公園,公園,クロスナダイコウエン,,千葉市稲毛区黒砂台3丁目7,,,35.633073,140.100698
千葉市 細田公園,公園,ホソダコウエン,,千葉市稲毛区小仲台8丁目12他,,,35.648314,140.089024
千葉市 宮原公園,公園,ミヤハラコウエン,,千葉市稲毛区宮野木町835－119,,,35.652229,140.097266
千葉市 長沼第４公園,公園,ナガヌマダイ４コウエン,,千葉市稲毛区長沼町251－110,,,35.656058,140.114954
千葉市 中小深公園,公園,ナカコブケコウエン,,千葉市稲毛区小深町273－91,,,35.661603,140.150859
千葉市 園生第５公園,公園,ソンノウダイ５コウエン,,千葉市稲毛区園生町1412－2,,,35.653219,140.12876
千葉市 いなげの丘公園,公園,イナゲノオカコウエン,,千葉市稲毛区小中台町596－1,,,35.648229,140.09045
千葉市 京町公園,公園,キョウマチコウエン,,千葉市稲毛区長沼町167－122,,,35.65789,140.110142
千葉市 丸子山公園,公園,マルコヤマコウエン,,千葉市稲毛区稲丘町17－9,,,35.631287,140.087426
千葉市 小谷公園,公園,コタニコウエン,,千葉市稲毛区小仲台7丁目22,,,35.643473,140.092172
千葉市 定原公園,公園,ジョウハラコウエン,,千葉市稲毛区宮野木町1286－1,,,35.65736,140.101192
千葉市 立野公園,公園,タテノコウエン,,千葉市稲毛区作草部町1273－4,,,35.632969,140.12354
千葉市 黒砂２丁目公園,公園,クロスナ２チョウメコウエン,,千葉市稲毛区黒砂2丁目325－10,,,35.627085,140.090859
千葉市 小深第１公園,公園,コブケダイ１コウエン,,千葉市稲毛区小深町582－17,,,35.668099,140.150314
千葉市 作草部台公園,公園,サクサベダイコウエン,,千葉市稲毛区作草部1丁目907－3,,,35.629088,140.116289
千葉市 小仲台公園,公園,コナカダイコウエン,,千葉市稲毛区小仲台3丁目11,,,35.637812,140.098637
千葉市 黒砂台西公園,公園,クロスナダイニシコウエン,,千葉市稲毛区黒砂台3丁目4,,,35.633049,140.09909
千葉市 山王しののめ公園,公園,サンノウシノノメコウエン,,千葉市稲毛区山王町18－2,,,35.665687,140.146306
千葉市 あらく第２公園,公園,アラクダイ２コウエン,,千葉市稲毛区長沼町150－108,,,35.661205,140.116148
千葉市 はなえの公園,公園,ハナエノコウエン,,千葉市稲毛区稲毛町5丁目60－9,,,35.639243,140.077775
千葉市 宮野木北第２公園,公園,ミヤノギキタダイ２コウエン,,千葉市稲毛区宮野木町1832－35,,,35.660598,140.106293
千葉市 長沼第３公園,公園,ナガヌマダイ３コウエン,,千葉市稲毛区長沼町263－52,,,35.65376,140.108206
千葉市 六方児童公園,公園,ロッポウジドウコウエン,,千葉市稲毛区六方町58－1,,,35.657421,140.14588
千葉市 あけぼの公園,公園,アケボノコウエン,,千葉市稲毛区長沼原町430－29,,,35.676724,140.129724
千葉市 萩台第２公園,公園,ハギダイダイ２コウエン,,千葉市稲毛区萩台町696－62,,,35.641886,140.119003
千葉市 小仲台南第２公園,公園,コナカダイミナミダイ２コウエン,,千葉市稲毛区小仲台1丁目1076－7,,,35.635893,140.095409
千葉市 干場公園,公園,ホシバコウエン,,千葉市稲毛区宮野木町984－10,,,35.653146,140.097417
千葉市 轟町児童公園,公園,トドロキチョウジドウコウエン,,千葉市稲毛区轟町2丁目4,,,35.630599,140.105303
千葉市 作草部南公園,公園,サクサベミナミコウエン,,千葉市稲毛区作草部町1374－4,,,35.624994,140.116197
千葉市 稲毛東６丁目第２公園,公園,イナゲヒガシ６チョウメダイ２コウエン,,千葉市稲毛区稲毛東6丁目1670－14,,,35.645421,140.086213
千葉市 三京公園,公園,サンキョウコウエン,,千葉市稲毛区天台5丁目108－92,,,35.638872,140.116788
千葉市 川岸公園,公園,カワギシコウエン,,千葉市稲毛区稲毛2丁目7,,,35.638479,140.080391
千葉市 えごだ西公園,公園,エゴダニシコウエン,,千葉市稲毛区稲毛町4丁目346－1,,,35.649451,140.083633
千葉市 小はざま公園,公園,コハザマコウエン,,千葉市稲毛区小仲台8丁目20,,,35.644971,140.089645
千葉市 緑町２丁目公園,公園,ミドリチョウ２チョウメコウエン,,千葉市稲毛区緑町2丁目8－9他,,,35.622525,140.095261
千葉市 長沼公園,公園,ナガヌマコウエン,,千葉市稲毛区長沼町173－101,,,35.657689,140.11301
千葉市 穴川２丁目公園,公園,アナガワ２チョウメコウエン,,千葉市稲毛区穴川2丁目313－2,,,35.633293,140.106888
千葉市 宮野木東公園,公園,ミヤノギヒガシコウエン,,千葉市稲毛区宮野木町1655－14,,,35.654163,140.106013
千葉市 長沼原第３公園,公園,ナガヌマハラダイ３コウエン,,千葉市稲毛区長沼原町704－2,,,35.661801,140.127378
千葉市 長沼原第２公園,公園,ナガヌマハラダイ２コウエン,,千葉市稲毛区長沼原町942－188,,,35.668898,140.133174
千葉市 しずかが丘公園,公園,シズカガオカコウエン,,千葉市稲毛区宮野木町1960－10,,,35.662295,140.109027
千葉市 園生ケ丘第２公園,公園,ソンノウガオカダイ２コウエン,,千葉市稲毛区園生町521－56,,,35.64531,140.112618
千葉市 稲毛東第１公園,公園,イナゲヒガシダイ１コウエン,,千葉市稲毛区稲毛東6丁目14,,,35.643409,140.087167
千葉市 萩台北第２公園,公園,ハギダイキタダイ２コウエン,,千葉市稲毛区萩台町507－23,,,35.646198,140.123518
千葉市 小中台牛尾升公園,公園,コナカダイウシオマスコウエン,,千葉市稲毛区小中台町1772,,,35.65153,140.094224
千葉市 萩台公園,公園,ハギダイコウエン,,千葉市稲毛区萩台町628－22,,,35.642261,140.118711
千葉市 稲毛台公園,公園,イナゲダイコウエン,,千葉市稲毛区稲毛台町26,,,35.633722,140.091161
千葉市 稲毛３丁目公園,公園,イナゲ３チョウメコウエン,,千葉市稲毛区稲毛3丁目8,,,35.639013,140.082417
千葉市 宮野木境公園,公園,ミヤノギサカイコウエン,,千葉市稲毛区長沼町166－50,,,35.658475,140.111373
千葉市 園生下田公園,公園,ソンノウシモダコウエン,,千葉市稲毛区園生町756－5,,,35.64729,140.107586
千葉市 稲毛台第３公園,公園,イナゲダイダイ３コウエン,,千葉市稲毛区稲毛台町306－48,,,35.63331,140.092365
千葉市 宮長公園,公園,ミヤナガコウエン,,千葉市稲毛区長沼町163－27,,,35.659919,140.112174
千葉市 長沼第２公園,公園,ナガヌマダイ２コウエン,,千葉市稲毛区長沼町253－67,,,35.655457,140.113887
千葉市 稲毛東１丁目公園,公園,イナゲヒガシ１チョウメコウエン,,千葉市稲毛区稲毛東1丁目39－4,,,35.633015,140.090999
千葉市 黒砂３丁目公園,公園,クロスナ３チョウメコウエン,,千葉市稲毛区黒砂3丁目133－7,,,35.629665,140.092504
千葉市 宮野木北第３公園,公園,ミヤノギキタダイ３コウエン,,千葉市稲毛区宮野木町1820－8,,,35.658558,140.104745
千葉市 園生三和公園,公園,ソンノウサンワコウエン,,千葉市稲毛区園生町67－3,,,35.648506,140.098426
千葉市 園生第３公園,公園,ソンノウダイ３コウエン,,千葉市稲毛区園生町397－84,,,35.657727,140.122314
千葉市 川又公園,公園,カワマタコウエン,,千葉市稲毛区小仲台8丁目19,,,35.645576,140.088705
千葉市 あらく公園,公園,アラクコウエン,,千葉市稲毛区長沼町189－39,,,35.659007,140.114165
千葉市 王原公園,公園,オウハラコウエン,,千葉市稲毛区山王町239－1,,,35.665848,140.133241
千葉市 小坂公園,公園,コサカコウエン,,千葉市稲毛区小仲台7丁目32,,,35.642889,140.093752
千葉市 小深第２公園,公園,コブケダイ２コウエン,,千葉市稲毛区小深町602－12,,,35.670633,140.151564
千葉市 中宮公園,公園,ナカミヤコウエン,,千葉市稲毛区小仲台8丁目30,,,35.643679,140.093376
千葉市 中丸公園,公園,ナカマルコウエン,,千葉市稲毛区小仲台9丁目11,,,35.643866,140.096844
千葉市 宮原第２公園,公園,ミヤハラダイ２コウエン,,千葉市稲毛区宮野木町656－1,,,35.654851,140.095777
千葉市 草野公園,公園,クサノコウエン,,千葉市稲毛区園生町400－77,,,35.656436,140.124483
千葉市 轟町５丁目公園,公園,トドロキチョウ５チョウメコウエン,,千葉市稲毛区轟町5丁目82－89,,,35.632749,140.111779
千葉市 轟町４丁目公園,公園,トドロキチョウ４チョウメコウエン,,千葉市稲毛区轟町4丁目5－101,,,35.627826,140.112943
千葉市 園生第４公園,公園,ソンノウダイ４コウエン,,千葉市稲毛区園生町1128－3,,,35.642044,140.102173
千葉市 長沼屋敷公園,公園,ナガヌマヤシキコウエン,,千葉市稲毛区長沼町122－9,,,35.661593,140.122145
千葉市 園生西公園,公園,ソンノウニシコウエン,,千葉市稲毛区園生町342－6,,,35.65053,140.111109
千葉市 山和公園,公園,サンワコウエン,,千葉市稲毛区山王町80－74,,,35.667636,140.145469
千葉市 小中台西第３公園,公園,コナカダイニシダイ３コウエン,,千葉市稲毛区小中台町1513－5,,,35.649815,140.086694
千葉市 有楽公園,公園,ユウラクコウエン,,千葉市稲毛区小仲台9丁目18,,,35.645101,140.095277
千葉市 東宮野木第３公園,公園,ヒガシミヤノギダイ３コウエン,,千葉市稲毛区長沼町257－5,,,35.655729,140.112261
千葉市 宮原第３公園,公園,ミヤハラダイ３コウエン,,千葉市稲毛区宮野木町818－22,,,35.654138,140.096901
千葉市 東宮野木第４公園,公園,ヒガシミヤノギダイ４コウエン,,千葉市稲毛区長沼町254－37,,,35.655396,140.112817
千葉市 千葉道公園,公園,チバミチコウエン,,千葉市稲毛区長沼町345－33,,,35.659863,140.121659
千葉市 聖公園,公園,ヒジリコウエン,,千葉市稲毛区小深町90－72,,,35.655243,140.152618
千葉市 長沼第５公園,公園,ナガヌマダイ５コウエン,,千葉市稲毛区長沼町248－6,,,35.656787,140.11574
千葉市 山王公園,公園,サンノウコウエン,,千葉市稲毛区山王町11－59,,,35.666105,140.147892
千葉市 宮野木大橋第１公園,公園,ミヤノギオオハシダイ１コウエン,,千葉市稲毛区宮野木町1793－12,,,35.658498,140.107934
千葉市 稲毛台第２公園,公園,イナゲダイダイ２コウエン,,千葉市稲毛区稲毛台町31,,,35.634116,140.091936
千葉市 小深新田公園,公園,コブケシンデンコウエン,,千葉市稲毛区小深町267－6,,,35.660166,140.152497
千葉市 稲毛東1丁目第２公園,公園,イナゲヒガシ１チョウメダイ２コウエン,,千葉市稲毛区稲毛東1丁目38－56,,,35.633227,140.090852
千葉市 作草部南第２公園,公園,サクサベミナミダイ２コウエン,,千葉市稲毛区作草部町601－5,,,35.624354,140.116999
千葉市 長沼緑が丘公園,公園,ナガヌマミドリガオカコウエン,,千葉市稲毛区長沼町145－6,,,35.662889,140.114839
千葉市 いなげの丘第２公園,公園,イナゲノオカダイ２コウエン,,千葉市稲毛区小中台町655－19,,,35.647019,140.091706
千葉市 宮原第４公園,公園,ミヤハラダイ４コウエン,,千葉市稲毛区宮野木町815－8,,,35.654335,140.096692
千葉市 園生勝田公園,公園,ソンノウカツタコウエン,,千葉市稲毛区園生町487－51,,,35.644991,140.111164
千葉市 園生の丘公園,公園,ｿﾝﾉｳﾉｵｶｺｳｴﾝ,,千葉市稲毛区園生町971－21,,,35.642678,140.107406
千葉市 さくさべ東の丘公園,公園,ｻｸｻﾍﾞﾋｶﾞｼﾉｵｶｺｳｴﾝ,,千葉市稲毛区作草部町559－3,,,35.626482,140.12162
千葉市 長沼やまぼうし公園,公園,ﾅｶﾞﾇﾏﾔﾏﾎﾞｳｼｺｳｴﾝ,,千葉市稲毛区長沼町151－6,,,35.661714,140.114521
千葉市 園生坪ノ内公園,公園,ソンノウツボノウチコウエン,,千葉市稲毛区園生町612番7,,,35.647129,140.104015
千葉市 小深東公園,公園,コブケヒガシコウエン,,千葉市稲毛区小深町71番4,,,35.655573,140.155358
千葉市 長沼屋敷第２公園,公園,ナガヌマヤシキダイ２コウエン,,千葉市稲毛区長沼町25番6,,,35.667533,140.120442
千葉市 小深ゆかり野公園,公園,コブケユカリノコウエン,,千葉市稲毛区小深町90－178,,,35.656516,140.15123
千葉市 稲毛町５丁目にこにこ公園,公園,イナゲチョウ５チョウメニコニココウエン,,千葉市稲毛区稲毛町5丁目421－1他,,,35.646759,140.082028
千葉市 園生みどりが丘公園,公園,ソンノウミドリガオカコウエン,,千葉市稲毛区園生町705－5,,,35.646756,140.105138
千葉市 園生南第２公園,公園,ソンノウミナミダイ２コウエン,,千葉市稲毛区園生町1002－13,,,35.641003,140.110103
千葉市 稲毛東公園,公園,イナゲヒガシコウエン,,千葉市稲毛区稲毛東5丁目8,,,35.641317,140.087091
千葉市 西千葉公園,公園,ニシチバコウエン,,千葉市稲毛区黒砂台3丁目1,,,35.627421,140.099716
千葉市 山王ふれあい公園,公園,サンノウフレアイコウエン,,千葉市稲毛区山王町182－1他,,,35.663854,140.137715
千葉市 小中台西公園,公園,コナカダイニシコウエン,,千葉市稲毛区小中台町400－1他,,,35.652337,140.091715
千葉市 つどい公園,公園,ツドイコウエン,,千葉市稲毛区小仲台1丁目1081－28,,,35.634023,140.09811
千葉市 宮の杜こぶし公園,公園,ミヤノモリコブシコウエン,,千葉市稲毛区長沼町156,,,35.661558,140.111487
千葉市 黒砂あおぞら公園,公園,クロスナアオゾラコウエン,,千葉市稲毛区黒砂2丁目541－1他,,,35.626229,140.094077
千葉市 常盤公園,公園,トキワコウエン,,千葉市稲毛区稲毛町5丁目,,,35.639779,140.076747
千葉市 稲毛東６丁目公園,公園,イナゲヒガシ６チョウメコウエン,,千葉市稲毛区稲毛東6丁目1393－1,,,35.642742,140.088176
千葉市 轟町幼児遊園,公園,トドロキチョウヨウジユウエン,,千葉市稲毛区轟町2丁目55－1,,,35.629322,140.106507
千葉市 小鳩公園,公園,コバトコウエン,,千葉市稲毛区小仲台8丁目24,,,35.644539,140.093742
千葉市 稲丘緑地,公園,イナオカリョクチ,,千葉市稲毛区稲丘町34,,,35.632613,140.085234
千葉市 小仲台６丁目緑地,公園,コナカダイロクチョウメリョクチ,,千葉市稲毛区小仲台6丁目30番地先,,,35.642591,140.095905
千葉市 緑町緑地,公園,ミドリチョウリョクチ,,千葉市稲毛区緑町2丁目,,,35.621912,140.095219
千葉市 園生の森公園,公園,ソンノウノモリコウエン,,千葉市稲毛区園生町520－1他,,,35.647576,140.11253
千葉市 園生市民の森,公園,ソンノウシミンノモリ,,千葉市稲毛区園生町512－1他,,,35.646607,140.111482
千葉市 黒砂台ながぐつ緑地,公園,クロスナダイナガグツリョクチ,,千葉市稲毛区黒砂台3丁目182－22,,,35.631672,140.098131
千葉市 山王防風林第１緑地,公園,サンノウボウフウリンダイ１リョクチ,,千葉市稲毛区山王町367－1他,,,35.659179,140.14274
千葉市　大森町公園,公園,オオモリチョウコウエン,,千葉市中央区大森町357－1,,,35.5780611,140.149338
千葉市　中田池緑地,公園,ナカタイケリョクチ,,千葉市中央区仁戸名町350－1,,,35.5912419,140.155606
千葉市　仁戸名第５公園,公園,ニトナダイ５コウエン,,千葉市仁戸名町720－121,,,35.5762516,140.166882
千葉市　萩台あおぞら公園,公園,ハギダイアオゾラコウエン,,千葉市稲毛区萩台町42番4,,,35.6384916,140.119258
千葉市　萩台第３公園,公園,ハギダイダイ３コウエン,,千葉市稲毛区萩台55－11,,,35.6389799,140.120643
千葉市　浜野第４公園,公園,ハマノチョウダイ４コウエン,,千葉市中央区浜野町1315番1,,,35.5587903,140.136726
千葉市 稲毛３丁目公園,公園,イナゲサンチョウメコウエン,,千葉市稲毛区稲毛3丁目1551－23,,,35.6390127,140.082417
千葉市　川崎さくら広場公園,公園,カワサキサクラヒロバコウエン,,千葉市中央区川崎町71,,,35.5816945,140.123576
千葉市　川崎鉄なべ広場公園,公園,カワサキテツナベヒロバコウエン,,千葉市中央区川崎町70,,,35.585217,140.121539
千葉市　新宿２丁目街園,公園,シンジュク２チョウメガイエン,,千葉市中央区新宿2丁目7番26,,,35.6063148,140.118036
千葉市　園生勝田第２公園,公園,ソンノウカツタダイ２コウエン,,千葉市稲毛区園生町510番66,,,35.6463856,140.109541
千葉市　園生谷津公園,公園,ソンノウヤツコウエン,,千葉市稲毛区園生町267番12外,,,35.6496375,140.105844
千葉市　星久喜第３公園,公園,ホシクキダイ３コウエン,,千葉市中央区星久喜717番12,,,35.5932959,140.151524
千葉市　星久喜緑地,公園,ホシクキリョクチ,,千葉市中央区星久喜町969－1外,,,35.6023948,140.147169
千葉市　南町１丁目公園,公園,ミナミチョウ１チョウメコウエン,,千葉市中央区南町1丁目1番7号,,,35.5857806,140.129869
千葉市　宮崎そよかぜ公園,公園,ミヤザキソヨカゼコウエン,,千葉市中央区宮崎町770番36,,,35.5849952,140.145951
千葉市　宮崎みはらし台第１緑地,公園,ミヤザキミハラシダイダイ１リョクチ,,千葉市中央区宮崎町770番38,,,35.5844106,140.145296
千葉市　宮崎みはらし台第２緑地,公園,ミヤザキミハラシダイダイ２リョクチ,,千葉市中央区宮崎町770番37,,,35.5856626,140.146438
千葉市　宮野木中央公園,公園,ミヤノギチュウオウコウエン,,千葉市稲毛区宮野木町2151番1他,,,35.6623138,140.107382
千葉市 さつきが丘西公園,公園,サツキガオカニシコウエン,,千葉市花見川区さつきが丘2丁目31,,,35.667129,140.092465
千葉市 にれの木台公園,公園,ニレノキダイコウエン,,千葉市花見川区朝日ヶ丘2丁目455－14,,,35.65727,140.085617
千葉市 幕張町５丁目公園,公園,マクハリチョウ５チョウメコウエン,,千葉市花見川区幕張町5丁目417－258,,,35.65354,140.054356
千葉市 花見公園,公園,ハナミコウエン,,千葉市花見川区幕張本郷2丁目25－1,,,35.666406,140.040254
千葉市 横戸南公園,公園,ヨコドミナミコウエン,,千葉市花見川区横戸台23,,,35.69569,140.112354
千葉市 むくどり公園,公園,ムクドリコウエン,,千葉市花見川区瑞穂1丁目22,,,35.667996,140.069793
千葉市 磯部新田公園,公園,イソベシンデンコウエン,,千葉市花見川区幕張町5丁目390－2,,,35.65152,140.060353
千葉市 幕張公園,公園,マクハリコウエン,,千葉市花見川区幕張町5丁目544－12,,,35.657918,140.052041
千葉市 浜竹公園,公園,ハマタケコウエン,,千葉市花見川区検見川町3丁目306,,,35.650091,140.070594
千葉市 花園公園,公園,ハナゾノコウエン,,千葉市花見川区花園2丁目11,,,35.653965,140.07191
千葉市 長作台第３公園,公園,ナガサクダイダイ３コウエン,,千葉市花見川区作新台6丁目7,,,35.687306,140.087356
千葉市 こてはし台１丁目公園,公園,コテハシダイ１チョウメコウエン,,千葉市花見川区こてはし台1丁目14,,,35.685653,140.125936
千葉市 東花園公園,公園,ヒガシハナゾノコウエン,,千葉市花見川区花園5丁目10,,,35.654286,140.076408
千葉市 朝日ヶ丘第２公園,公園,アサヒガオカダイ２コウエン,,千葉市花見川区朝日ヶ丘3丁目2665－6,,,35.655408,140.081847
千葉市 検見川公園,公園,ケミガワコウエン,,千葉市花見川区検見川町3丁目330,,,35.646107,140.070119
千葉市 こてはし台６丁目公園,公園,コテハシダイ６チョウメコウエン,,千葉市花見川区こてはし台6丁目20,,,35.695947,140.116563
千葉市 つぐみ公園,公園,ツグミコウエン,,千葉市花見川区瑞穂3丁目9－1,,,35.660424,140.068778
千葉市 横戸北公園,公園,ヨコドキタコウエン,,千葉市花見川区横戸台38,,,35.698848,140.113443
千葉市 南花園１丁目公園,公園,ミナミハナゾノ１チョウメコウエン,,千葉市花見川区南花園1丁目2463,,,35.649359,140.082613
千葉市 新検見川公園,公園,シンケミガワコウエン,,千葉市花見川区南花園2丁目4,,,35.65093,140.072296
千葉市 畑町公園,公園,ハタマチコウエン,,千葉市花見川区畑町446－81,,,35.661657,140.088616
千葉市 渚公園,公園,ナギサコウエン,,千葉市花見川区幕張町1丁目7689－2,,,35.659483,140.045229
千葉市 長作台第２公園,公園,ナガサクダイダイ２コウエン,,千葉市花見川区作新台8丁目11,,,35.686424,140.085648
千葉市 長作みどり公園,公園,ナガサクミドリコウエン,,千葉市花見川区長作町1623－1,,,35.685135,140.082079
千葉市 こてはし台３丁目公園,公園,コテハシダイ３チョウメコウエン,,千葉市花見川区こてはし台3丁目11,,,35.684334,140.118992
千葉市 中道公園,公園,ナカミチコウエン,,千葉市花見川区検見川町2丁目206,,,35.650302,140.067323
千葉市 畑台公園,公園,ハタダイコウエン,,千葉市花見川区朝日ヶ丘5丁目3103－57,,,35.660333,140.081417
千葉市 畑ケ丘公園,公園,ハタガオカコウエン,,千葉市花見川区畑町662－250,,,35.661742,140.080357
千葉市 浄土公園,公園,ジョウドコウエン,,千葉市花見川区幕張本郷6丁目14,,,35.675652,140.042584
千葉市 こてはし台５丁目公園,公園,コテハシダイ５チョウメコウエン,,千葉市花見川区こてはし台5丁目23,,,35.693353,140.117213
千葉市 幕張４丁目公園,公園,マクハリ４チョウメコウエン,,千葉市花見川区幕張町4丁目544－49,,,35.655776,140.048784
千葉市 幕張町５丁目第２公園,公園,マクハリチョウ５チョウメダイ２コウエン,,千葉市花見川区幕張町5丁目417－274,,,35.652693,140.054555
千葉市 さつきが丘東公園,公園,サツキガオカヒガシコウエン,,千葉市花見川区さつきが丘1丁目41,,,35.666575,140.099194
千葉市 犢橋新田公園,公園,コテハシシンデンコウエン,,千葉市花見川区犢橋町711－2,,,35.67467,140.110872
千葉市 大堀公園,公園,オオホリコウエン,,千葉市花見川区作新台1丁目7,,,35.691775,140.091973
千葉市 さつきが丘南公園,公園,サツキガオカミナミコウエン,,千葉市花見川区さつきが丘2丁目6,,,35.662916,140.092354
千葉市 ちすみ第１公園,公園,チスミダイ１コウエン,,千葉市花見川区千種町340－33,,,35.684413,140.122449
千葉市 つくし公園,公園,ツクシコウエン,,千葉市花見川区朝日ヶ丘1丁目3353－1,,,35.65771,140.090576
千葉市 浪浜公園,公園,ナミハマコウエン,,千葉市花見川区幕張本郷1丁目17,,,35.672094,140.038581
千葉市 西の谷公園,公園,ニシノヤコウエン,,千葉市花見川区幕張本郷3丁目26,,,35.667146,140.047408
千葉市 宮の台公園,公園,ミヤノダイコウエン,,千葉市花見川区幕張本郷4丁目4,,,35.669546,140.048193
千葉市 本郷児童公園,公園,ホンゴウジドウコウエン,,千葉市花見川区幕張本郷7丁目37,,,35.67152,140.050084
千葉市 宮野木西公園,公園,ミヤノギニシコウエン,,千葉市花見川区宮野木台1丁目7,,,35.654921,140.092073
千葉市 こてはし台２丁目公園,公園,コテハシダイ２チョウメコウエン,,千葉市花見川区こてはし台2丁目12,,,35.68678,140.125929
千葉市 鷹の台弁天公園,公園,タカノダイベンテンコウエン,,千葉市花見川区横戸町1444－5,,,35.70823,140.11739
千葉市 みすみ公園,公園,ミスミコウエン,,千葉市花見川区三角町230－39他,,,35.686031,140.11475
千葉市 長作西公園,公園,ナガサクニシコウエン,,千葉市花見川区長作町1－49,,,35.676408,140.066201
千葉市 千種第２公園,公園,チグサダイ２コウエン,,千葉市花見川区千種町337－5,,,35.682882,140.117635
千葉市 かるがも公園,公園,カルガモコウエン,,千葉市花見川区瑞穂3丁目4,,,35.661628,140.070699
千葉市 犢橋本郷第１公園,公園,コテハシホンゴウダイ１コウエン,,千葉市花見川区犢橋町233,,,35.668468,140.110536
千葉市 つくし第２公園,公園,ツクシダイ２コウエン,,千葉市花見川区朝日ヶ丘1丁目2571－4他,,,35.65579,140.089281
千葉市 長作台第１公園,公園,ナガサクダイダイ１コウエン,,千葉市花見川区作新台8丁目12,,,35.686533,140.084512
千葉市 天戸公園,公園,アマドコウエン,,千葉市花見川区天戸町1464－6,,,35.684159,140.087395
千葉市 芦太山公園,公園,アシブトヤマコウエン,,千葉市花見川区柏井町1656－13,,,35.694831,140.097247
千葉市 芦太公園,公園,アシブトコウエン,,千葉市花見川区柏井町1656－8,,,35.695484,140.096098
千葉市 幕張町１丁目第２公園,公園,マクハリチョウ１チョウメダイ２コウエン,,千葉市花見川区幕張町1丁目7783－1,,,35.662747,140.044191
千葉市 柏井第３公園,公園,カシワイダイ３コウエン,,千葉市花見川区柏井町1762－2,,,35.709492,140.106528
千葉市 あさみや公園,公園,アサミヤコウエン,,千葉市花見川区宮野木台1丁目20,,,35.653142,140.090429
千葉市 森長公園,公園,モリナガコウエン,,千葉市花見川区作新台2丁目1541－132他,,,35.691743,140.087581
千葉市 宇那谷もみじ公園,公園,ウナヤモミジコウエン,,千葉市花見川区み春野3丁目9,,,35.69522,140.137196
千葉市 幕張町あんず公園,公園,マクハリチョウアンズコウエン,,千葉市花見川区幕張町4丁目1818－5,,,35.66632,140.056612
千葉市 富士公園,公園,フジコウエン,,千葉市花見川区宮野木台4丁目4,,,35.658092,140.095903
千葉市 犢橋本郷第３公園,公園,コテハシホンゴウダイ３コウエン,,千葉市花見川区犢橋町59－2,,,35.668654,140.116274
千葉市 宮野木台１丁目公園,公園,ミヤノギダイ１チョウメコウエン,,千葉市花見川区宮野木台1丁目600－4,,,35.656059,140.094443
千葉市 宇那谷すずかぜ公園,公園,ウナヤスズカゼコウエン,,千葉市花見川区み春野2丁目1,,,35.689373,140.137864
千葉市 めぐち公園,公園,メグチコウエン,,千葉市花見川区朝日ヶ丘3丁目2531－5,,,35.65443,140.081588
千葉市 千種北公園,公園,チグサキタコウエン,,千葉市花見川区千種町333－13,,,35.683772,140.119108
千葉市 千種公園,公園,チグサコウエン,,千葉市花見川区千種町356－32,,,35.682637,140.119915
千葉市 幕張町４丁目北第２公園,公園,マクハリチョウ４チョウメキタダイ２コウエン,,千葉市花見川区幕張町4丁目1800－10,,,35.667038,140.057453
千葉市 みのわ公園,公園,ミノワコウエン,,千葉市花見川区朝日ヶ丘5丁目665－19,,,35.66041,140.084427
千葉市 横戸公園,公園,ヨコドコウエン,,千葉市花見川区横戸町1255－27,,,35.703217,140.116459
