ページタイトル,施設ジャンル,施設、場所、イベントの名称（読み）,郵便番号,住所,ビル名,フロア数,緯度,経度
ネッツトヨタ千葉（株）　穴川店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　アナガワテン,263-0051,稲毛区園生町370-5,,,35.65023486,140.1188135
ネッツトヨタ千葉（株）　都町中央店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　ミヤコチョウチュウオウテン,260-0001,中央区都町3-22-2,,,35.60997304,140.1419556
ネッツトヨタ千葉（株）　都町店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　ミヤコチョウテン,260-0001,中央区都町1104-1,,,35.61341837,140.1452279
ネッツトヨタ千葉（株）　末広店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　スエヒロテン,260-0843,中央区末広3-24-3,,,35.59232541,140.1279759
ネッツトヨタ千葉（株）　稲荷町店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　イナリチョウテン,260-0833,中央区稲荷町3-1-1,,,35.58636638,140.124532
ネッツトヨタ千葉（株）　古市場店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　フルイチバチョウテン,266-0026,緑区古市場町556-1,,,35.5455661,140.1486397
ネッツトヨタ千葉（株）　土気あすみが丘店,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　トケアスミガオカテン,267-0066,緑区あすみが丘3-52-5,,,35.52976405,140.2638566
ネッツトヨタ千葉（株）　ユーコム貝塚,赤ちゃんの駅,ネッツトヨタチバカブシキガイシャ　ユーコムカイヅカ,264-0023,若葉区貝塚町1390-1,,,35.62602962,140.149734
学校法人畠山学園附属はまの保育園,赤ちゃんの駅,ガッコウホウジンハタケヤマガクエンフゾクハマノホイクエン,260-0824,中央区浜野町663-1,,,35.55632891,140.1306689
若松台幼稚園,赤ちゃんの駅,ワカマツダイヨウチエン,264-0021,若葉区若松町401,,,35.6454441,140.1699632
おゆみ野すきっぷ保育園,赤ちゃんの駅,オユミノスキップホイクエン,266-0033,緑区おゆみ野南3-25-1,,,35.54964924,140.165901
学校法人塩田学園ひまわり幼稚園,赤ちゃんの駅,ガッコウホウジンシオダガクエンヒマワリヨウチエン,260-0807,中央区松ヶ丘町611,,,35.58609372,140.1519147
小中台地域福祉交流館,赤ちゃんの駅,コナカダイチイキフクシコウリュウカン,263-0043,稲毛区小仲台5-3-1,,,35.64161869,140.0963581
都賀保育園,赤ちゃんの駅,ツガホイクエン,264-0025,若葉区都賀5-1-11,,,35.63662686,140.1538593
ＫＩＮＧＳ　ＳＥＤＯＮＡ,赤ちゃんの駅,キングス　セドナ,260-0806,中央区宮崎2-6-1,,,35.58243998,140.1365644
そごう千葉店,赤ちゃんの駅,ソゴウチバテン,260-0028,中央区新町1000,,,35.61124871,140.1139426
こころの健康センター,赤ちゃんの駅,ココロノケンコセンター,261-0003,美浜区高浜2-1-16,,,35.6173825,140.0721109
京葉銀行文化プラザ,赤ちゃんの駅,ケイヨウギンコウブンカプラザ,260-0015,中央区富士見1-3-2,,,35.61320468,140.1172927
千葉市消費生活センター,赤ちゃんの駅,チバシショウヒセイカツセンター,260-0045,中央区弁天1-25-1,,,35.61789315,140.1118206
